filename,title,description,feature,topic,audience,role,level
./metadata.md,,,,,,,
././help/TOC.md,,,,,,,
./help/overview.md,Analytics Videos and Tutorials,A collection of videos and tutorials for Adobe Analytics.,Analytics Basics,,,"Business Practitioner, Developer, Data Engineer, Architect, Data Architect, Administrator, Leader",Beginner
./help/intro-to-analytics/what-can-aa-do-for-me/how-adobe-analysis-workspace-can-change-your-business.md,How Adobe Analysis Workspace Can Change Your Business,"Analysis Workspace is a new and easy-to-use interface in Adobe Analytics. Within Analysis Workspace, you can do Ad hoc Analysis, Flexible Analysis, Cohort Analysis, and Fallout Analysis. You can also share the analysis working environment with everyone in your company, and its drag and drop function allows everyone to analyze the data easily and get insights quickly.",Workspace Basics,,,"Business Practitioner, Developer, Data Engineer, Architect, Data Architect, Administrator, Leader",Beginner
./help/intro-to-analytics/what-can-aa-do-for-me/adobe-analytics-customer-intelligence.md,Adobe Analytics - It's More Than Data. It's Customer Intelligence,"To become an experience business, data-driven marketing is key. Take your analytics maturity to a new level - from data to insights to action.",Analytics Basics,,,"Business Practitioner, Developer, Data Engineer, Architect, Data Architect, Administrator, Leader",Beginner
./help/intro-to-analytics/what-can-aa-do-for-me/adobe-sensei-and-adobe-analytics.md,Adobe Sensei and Adobe Analytics,"Adobe Sensei makes Adobe Analytics more intelligent, and helps marketers discover meaningful insights about their customers. This video includes additional explanation of key features in Adobe Analytics powered by Adobe Sensei, including Anomaly Detection, Contribution Analysis, Intelligent Alerts, Clustering, Segment IQ, and Propensity Modeling.",Data Science,,,"Business Practitioner, Developer, Data Engineer, Architect, Data Architect, Administrator, Leader",Beginner
./help/intro-to-analytics/what-can-aa-do-for-me/servicenow-gets-the-right-insights-to-connect-with-prospects.md,Customer Use Case - ServiceNow Gets the Right Insights to Connect with Prospects,Find out how ServiceNow gets actionable data from its marketing channels and boosts ROI on paid search advertising with Adobe Advertising Cloud and Adobe Analytics.,Use Cases,,,"Business Practitioner, Developer, Data Engineer, Architect, Data Architect, Administrator, Leader",Beginner
./help/intro-to-analytics/what-can-aa-do-for-me/accent-group-invests-in-customer-experience-to-drive-sales.md,Customer Use Case - Accent Group Invests in Customer Experience to Drive Sales,"Accent Group, the largest footwear retailer in Australia, grows their sales and conversions by delivering great customer experiences across physical and digital touch-points. Watch how the Accent Group uses the Adobe Experience Cloud to create seamless digital experiences.",Use Cases,,,"Business Practitioner, Developer, Data Engineer, Architect, Data Architect, Administrator, Leader",Beginner
./help/intro-to-analytics/what-can-aa-do-for-me/the-home-depot-innovates-with-customer-experience-management.md,Customer Use Case - The Home Depot Innovates with Customer Experience Management,"HomeDepot.com, a $7 billion eCommerce site within a $100 billion company, stays ahead of the competition by ensuring the customer experience is right. Learn how Home Depot uses Adobe solutions to create brand loyalty and customer satisfaction with a personalized, customized shopping experience.",Use Cases,,,"Business Practitioner, Developer, Data Engineer, Architect, Data Architect, Administrator, Leader",Beginner
./help/intro-to-analytics/what-can-aa-do-for-me/adobe-summit-2019-super-session-travel.md,Adobe Summit 2019 Super Session - Travel & Hospitality,"See curated clips from the travel & hospitality ""super session"" at Summit 2019",Use Cases,,,"Business Practitioner, Developer, Data Engineer, Architect, Data Architect, Administrator, Leader",Beginner
./help/intro-to-analytics/what-can-aa-do-for-me/adobe-summit-2019-super-session-retail.md,Adobe Summit 2019 Super Session - Retail,"See curated clips from the retail ""super session"" at Summit 2019",Use Cases,,,"Business Practitioner, Developer, Data Engineer, Architect, Data Architect, Administrator, Leader",Beginner
./help/intro-to-analytics/what-can-aa-do-for-me/adobe-summit-2019-super-session-high-tech.md,Adobe Summit 2019 Super Session - High Tech,"See curated clips from the high tech ""super session"" at Summit 2019",Use Cases,,,"Business Practitioner, Developer, Data Engineer, Architect, Data Architect, Administrator, Leader",Beginner
./help/intro-to-analytics/analytics-basics/try-in-workspace-button.md,Try in Workspace Button in Reports and Analytics,Most reports in Reports and Analytics include a Try in Workspace button to allow you to reproduce the current view in Analysis Workspace for further customization.,Analytics Basics,,,"Business Practitioner, Developer, Data Engineer, Architect, Data Architect, Administrator, Leader",Beginner
./help/intro-to-analytics/analytics-basics/people-metric.md,People Metric in Adobe Analytics,Adobe Analytics now offers a People metric to de-duplicate visitors based on the Adobe Experience Cloud Device Co-op! This video provides more information and shows you how to get started.,Metrics,,,"Business Practitioner, Developer, Data Engineer, Architect, Data Architect, Administrator, Leader",Beginner
./help/intro-to-analytics/analytics-basics/understanding-the-analytics-cycle.md,Understanding the Analytics Cycle,"In this simple, yet important video, you will learn about the steps involved with doing analysis of your site's data. Taking a little time to understand this process can make all the difference in the success of your Analytics program.",Analytics Basics,,,Business Practitioner,Beginner
./help/intro-to-analytics/analytics-basics/how-analytics-data-is-collected.md,How Analytics Data is Collected,How does data get from your page into the reports in Adobe Analytics? This video shows you how.,Analytics Basics,,,Business Practitioner,Beginner
